epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3161.44,0.61551,0.73669,0.47181,0.86805,0.88168,0.80731,0.88737,0.7148,0.83135,0.82245,0.86457,0.53034,0.77911,0.95512,0.58287,0.90281,0.0007055,0.0007055,0.0007055
90,3196.31,0.61564,0.72921,0.48425,0.86435,0.84889,0.83584,0.88556,0.717,0.82618,0.817,0.86773,0.54188,0.74898,0.86266,0.60821,0.89999,0.000699312,0.000699312,0.000699312
91,3233.15,0.5984,0.73219,0.48231,0.86633,0.88246,0.82939,0.89725,0.72548,0.8655,0.79879,0.8671,0.53531,0.77181,0.97351,0.57886,0.90288,0.000693125,0.000693125,0.000693125
92,3267.25,0.59854,0.74043,0.4814,0.87022,0.8461,0.86198,0.89568,0.72687,0.86094,0.81649,0.87226,0.53074,0.77122,0.97176,0.55163,0.90203,0.000686937,0.000686937,0.000686937
93,3303.23,0.617,0.74643,0.49691,0.86897,0.85733,0.86406,0.90587,0.72485,0.83939,0.84552,0.88451,0.53402,0.76655,0.90794,0.55975,0.89849,0.00068075,0.00068075,0.00068075
94,3337.64,0.60886,0.71939,0.46888,0.8667,0.85349,0.8523,0.89591,0.72109,0.83322,0.82681,0.8672,0.54339,0.75977,0.87942,0.56735,0.90049,0.000674562,0.000674562,0.000674562
95,3373.13,0.59614,0.71849,0.44683,0.86713,0.86784,0.85502,0.88839,0.71528,0.84768,0.83436,0.85914,0.52544,0.77472,0.93347,0.55512,0.90385,0.000668375,0.000668375,0.000668375
96,3407.61,0.59631,0.72158,0.46058,0.86937,0.88335,0.8435,0.90108,0.73844,0.86472,0.82188,0.87253,0.55257,0.74773,0.89301,0.54187,0.887,0.000662188,0.000662188,0.000662188
97,3442.09,0.60068,0.73288,0.46804,0.86737,0.89009,0.82956,0.90341,0.72763,0.87004,0.81121,0.87574,0.53101,0.77794,0.97157,0.55476,0.89904,0.000656,0.000656,0.000656
98,3480.17,0.60581,0.72501,0.4677,0.8678,0.87383,0.84444,0.90431,0.72529,0.85891,0.82947,0.87949,0.54436,0.76711,0.9012,0.56027,0.90239,0.000649813,0.000649813,0.000649813
99,3514.26,0.57938,0.70832,0.44545,0.86098,0.849,0.85532,0.90344,0.72589,0.86776,0.8029,0.86933,0.52936,0.78012,0.89395,0.57197,0.90776,0.000643625,0.000643625,0.000643625
100,3550.26,0.59416,0.71154,0.46374,0.86689,0.8769,0.8558,0.90903,0.72379,0.83939,0.83433,0.87348,0.5271,0.79289,0.96937,0.53653,0.90855,0.000637437,0.000637437,0.000637437
101,3585.21,0.59701,0.707,0.44964,0.86494,0.8549,0.86991,0.90833,0.7322,0.84829,0.84094,0.8812,0.54753,0.76672,0.9132,0.5495,0.89923,0.00063125,0.00063125,0.00063125
